datetime,code,open,close,high,low,vol,amount,p_change
2021-03-10,000121,11673.626,11615.026,11746.017,11567.296,40663.0,19040163840.0,0.71
2021-03-09,000121,11813.017,11532.756,11832.477,11418.147,56407.0,24115693568.0,-2.52
2021-03-08,000121,12257.017,11830.697,12321.296,11829.687,55982.0,24453720064.0,-3.03
2021-03-05,000121,12010.276,12200.126,12256.736,11979.576,44433.0,19098484736.0,0.64
2021-03-04,000121,12380.536,12123.126,12380.536,12081.486,49433.0,21451894784.0,-2.61
2021-03-03,000121,12329.147,12447.796,12451.586,12294.057,40739.0,17059526656.0,0.81
2021-03-02,000121,12587.827,12347.287,12587.827,12277.747,44857.0,20422660096.0,-1.49
2021-03-01,000121,12460.188,12534.218,12539.778,12377.218,46343.0,20902754304.0,1.15
2021-02-26,000121,12386.407,12392.218,12549.928,12305.687,50482.0,22583953408.0,-1.58
2021-02-25,000121,12687.697,12590.707,12716.537,12560.277,46479.0,20463063040.0,-0.31
2021-02-24,000121,12902.137,12629.517,12914.097,12539.967,57213.0,26283544576.0,-2.25
2021-02-23,000121,12820.076,12919.836,13030.736,12771.906,62912.0,25228906496.0,0.11
2021-02-22,000121,13193.186,12905.276,13193.186,12902.295,72041.0,30625402880.0,-2.06
2021-02-19,000121,12963.387,13176.826,13196.857,12846.267,58863.0,24457189376.0,1.25
2021-02-18,000121,13311.617,13014.197,13323.527,12954.047,66460.0,30399100928.0,-1.32
2021-02-10,000121,12952.898,13188.047,13220.578,12905.507,60547.0,25752832000.0,2.08
2021-02-09,000121,12676.507,12919.138,12967.787,12599.818,53398.0,22280841216.0,2.08
2021-02-08,000121,12533.457,12655.507,12680.997,12479.997,50368.0,22672580608.0,1.08
2021-02-05,000121,12452.598,12520.058,12667.898,12452.598,43939.0,20397242368.0,0.98
2021-02-04,000121,12599.338,12398.408,12668.109,12269.988,48656.0,18813880320.0,-1.95
2021-02-03,000121,12724.088,12645.008,12813.008,12590.198,49920.0,20463067136.0,-0.72
2021-02-02,000121,12669.559,12736.559,12761.538,12518.969,48707.0,20564221952.0,0.71
2021-02-01,000121,12553.729,12646.758,12680.219,12505.258,45964.0,18947936256.0,0.78
2021-01-29,000121,12756.47,12549.369,12829.049,12432.049,53450.0,21869631488.0,-1.18
2021-01-28,000121,12855.1,12698.669,12945.509,12683.509,52912.0,21405433856.0,-2.3
2021-01-27,000121,13018.39,12997.549,13116.56,12867.73,51747.0,20758452224.0,-0.59
2021-01-26,000121,13380.1,13074.35,13380.1,13059.22,71388.0,26419232768.0,-2.56
2021-01-25,000121,13532.999,13417.72,13561.52,13363.009,72024.0,31319734272.0,-0.25
2021-01-22,000121,13163.839,13451.319,13455.15,13161.249,72165.0,31072610304.0,2.45
2021-01-21,000121,12964.909,13129.699,13163.809,12964.72,59584.0,24787353600.0,1.98
2021-01-20,000121,12683.419,12875.289,12881.02,12643.129,47176.0,20372439040.0,1.84
2021-01-19,000121,12752.68,12643.249,12769.959,12625.52,51033.0,21165211648.0,-0.83
2021-01-18,000121,12658.94,12748.89,12808.129,12567.81,51418.0,20021010432.0,0.59
2021-01-15,000121,12731.24,12674.56,12732.5,12539.72,45133.0,21187031040.0,-0.4
2021-01-14,000121,12808.61,12725.22,12849.49,12680.049,51552.0,22807273472.0,-0.89
2021-01-13,000121,12973.81,12839.82,12980.589,12755.2,70791.0,28542001152.0,-1.08
2021-01-12,000121,12751.989,12979.749,12980.729,12751.259,58327.0,24253628416.0,1.66
2021-01-11,000121,12952.929,12767.269,12998.179,12723.689,64486.0,26952437760.0,-1.5
2021-01-08,000121,12872.469,12961.939,13013.779,12870.328,55510.0,23696744448.0,0.43
2021-01-07,000121,13106.689,12905.929,13106.689,12808.119,67182.0,26212919296.0,-1.55
2021-01-06,000121,12921.608,13109.418,13109.418,12887.388,75981.0,29443317760.0,1.6
